Object full path in v4, Object full path in v5
pymodaq.control_modules.daq_move, didnt move
pymodaq.control_modules.daq_move_ui, didnt move
pymodaq.control_modules.daq_viewer, didnt move
pymodaq.control_modules.daq_viewer_ui, didnt move
pymodaq.control_modules.mocks, didnt move
pymodaq.control_modules.move_utility_classes, didnt move
pymodaq.control_modules.utils, pymodaq_utils.utils.utils
pymodaq.control_modules.viewer_utility_classes, didnt move
pymodaq.control_modules.daq_move.ACTUATOR_TYPES, didnt move
pymodaq.control_modules.daq_move.ActuatorError, didnt move
pymodaq.control_modules.daq_move.DAQ_Move, didnt move
pymodaq.control_modules.daq_move.DAQ_Move_Actuators, didnt move
pymodaq.control_modules.daq_move.DAQ_Move_Hardware, didnt move
pymodaq.control_modules.daq_move.DAQ_Move_UI, didnt move
pymodaq.control_modules.daq_move.DAQ_Move_base, didnt move
pymodaq.control_modules.daq_move.DataActuator, didnt move
pymodaq.control_modules.daq_move.DataActuatorType, didnt move
pymodaq.control_modules.daq_move.DataFromPlugins, didnt move
pymodaq.control_modules.daq_move.DataRaw, pymodaq_data.data.DataRaw
pymodaq.control_modules.daq_move.DataToExport, pymodaq_data.data.DataToExport
pymodaq.control_modules.daq_move.DataUnitError, pymodaq_data.data.DataUnitError
pymodaq.control_modules.daq_move.LECOMoveCommands, didnt move
pymodaq.control_modules.daq_move.MoveActorListener, didnt move
pymodaq.control_modules.daq_move.MoveCommand, didnt move
pymodaq.control_modules.daq_move.Node, pymodaq_data.h5modules.backends.Node
pymodaq.control_modules.daq_move.ParameterControlModule, didnt move
pymodaq.control_modules.daq_move.QTimer, didnt move
pymodaq.control_modules.daq_move.STATUS_WAIT_TIME, didnt move
pymodaq.control_modules.daq_move.ThreadCommand, pymodaq_utils.utils.ThreadCommand
pymodaq.control_modules.daq_move.Type, didnt move
pymodaq.control_modules.daq_move.check_units, pymodaq_data.data.check_units
pymodaq.control_modules.daq_move.config, pymodaq_utils.config.config
pymodaq.control_modules.daq_move.config_mod, pymodaq_utils.config.config_mod
pymodaq.control_modules.daq_move.daq_move_params, didnt move
pymodaq.control_modules.daq_move.deprecation_msg, pymodaq_utils.warnings.deprecation_msg
pymodaq.control_modules.daq_move.get_module_name, pymodaq_utils.logger.get_module_name
pymodaq.control_modules.daq_move.get_splash_sc, pymodaq_gui.utils.splash.get_splash_sc
pymodaq.control_modules.daq_move.ioxml, pymodaq_gui.parameter.ioxml.ioxml
pymodaq.control_modules.daq_move.main, pymodaq_gui.examples.data_picker.main
pymodaq.control_modules.daq_move.module_saving, didnt move
pymodaq.control_modules.daq_move.putils, pymodaq_gui.parameter.utils.putils
pymodaq.control_modules.daq_move.randint, didnt move
pymodaq.control_modules.daq_move.set_logger, pymodaq_utils.logger.set_logger
pymodaq.control_modules.daq_move_ui.Config, pymodaq_utils.config.Config
pymodaq.control_modules.daq_move_ui.ControlModuleUI, didnt move
pymodaq.control_modules.daq_move_ui.CustomApp, pymodaq_gui.utils.custom_app.CustomApp
pymodaq.control_modules.daq_move_ui.DataWithAxes, pymodaq_data.data.DataWithAxes
pymodaq.control_modules.daq_move_ui.DimensionalityError, didnt move
pymodaq.control_modules.daq_move_ui.DockArea, pymodaq_gui.utils.dock.DockArea
pymodaq.control_modules.daq_move_ui.LabelWithFont, pymodaq_gui.utils.widgets.label.LabelWithFont
pymodaq.control_modules.daq_move_ui.PushButtonIcon, pymodaq_gui.utils.widgets.push.PushButtonIcon
pymodaq.control_modules.daq_move_ui.QComboBox, didnt move
pymodaq.control_modules.daq_move_ui.QGridLayout, didnt move
pymodaq.control_modules.daq_move_ui.QHBoxLayout, didnt move
pymodaq.control_modules.daq_move_ui.QLED, pymodaq_gui.utils.widgets.qled.QLED
pymodaq.control_modules.daq_move_ui.QSpinBox_ro, pymodaq_gui.utils.widgets.spinbox.QSpinBox_ro
pymodaq.control_modules.daq_move_ui.QToolBar, didnt move
pymodaq.control_modules.daq_move_ui.QVBoxLayout, didnt move
pymodaq.control_modules.daq_move_ui.ViewerDispatcher, pymodaq_gui.plotting.data_viewers.viewer.ViewerDispatcher
pymodaq.control_modules.daq_viewer.Axis, pymodaq_data.data.Axis
pymodaq.control_modules.daq_viewer.DAQTypesEnum, didnt move
pymodaq.control_modules.daq_viewer.DAQ_Detector, didnt move
